,_source.@timestamp,_source.agent.hostname,_source.destination.ip,_source.network.bytes,_source.source.ip,delta_prev,hour,minute,second
0,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.8.58,27185896,10.3.8.44,-1,4,4,0
21,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
22,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
23,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
24,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
25,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
26,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
27,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
20,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
28,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1328,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1334,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1333,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1332,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1331,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1330,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1329,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
29,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
19,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1327,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
17,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
3,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
4,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
5,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
6,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
2,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
7,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
18,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
8,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
12,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
9,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
10,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
11,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
16,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
15,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
14,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
13,2019-09-05 04:04:00+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,-1,4,4,0
1335,2019-09-05 04:04:00.297000+00:00,t-dock-work-2,10.3.6.5,152,10.3.8.44,0,4,4,0
30,2019-09-05 04:04:01.306000+00:00,t-dock-work-2,10.3.6.5,152,10.3.8.44,1,4,4,1
31,2019-09-05 04:04:07.327000+00:00,t-dock-work-2,10.3.6.5,152,10.3.8.44,6,4,4,7
32,2019-09-05 04:04:07.351000+00:00,t-dock-work-2,10.3.6.5,152,10.3.8.44,0,4,4,7
1337,2019-09-05 04:04:08.538000+00:00,t-dock-work-2,10.3.6.5,152,10.3.8.44,1,4,4,8
1336,2019-09-05 04:04:08.692000+00:00,t-dock-log-1,10.3.8.58,8115150,10.3.8.44,8,4,4,8
1351,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1350,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1349,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1348,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1347,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1346,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1340,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1344,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1343,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1342,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1341,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1352,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1339,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1338,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.8.58,27188254,10.3.8.44,1,4,4,10
1345,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1353,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1357,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1355,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1380,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1379,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1378,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1377,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1376,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1375,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1374,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1373,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1372,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1371,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1354,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1370,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1367,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
1366,2019-09-05 04:04:10+00:00,t-dock-work-2,10.3.6.5,240,10.3.8.44,1,4,4,10
